id,Category
1,cat
2,ship
3,ship
4,plane
5,frog
6,frog
7,car
8,frog
9,cat
10,car
11,plane
12,truck
13,dog
14,horse
15,truck
16,ship
17,dog
18,horse
19,ship
20,frog
21,horse
22,plane
23,deer
24,truck
25,deer
26,bird
27,deer
28,plane
29,truck
30,frog
31,frog
32,dog
33,deer
34,dog
35,truck
36,ship
37,deer
38,car
39,truck
40,dog
41,deer
42,frog
43,dog
44,frog
45,plane
46,truck
47,cat
48,plane
49,horse
50,frog
51,truck
52,ship
53,cat
54,cat
55,ship
56,ship
57,horse
58,horse
59,dog
60,frog
61,horse
62,dog
63,frog
64,truck
65,frog
66,bird
67,car
68,bird
69,cat
70,horse
71,ship
72,frog
73,ship
74,ship
75,plane
76,bird
77,truck
78,cat
79,cat
80,ship
81,ship
82,car
83,car
84,horse
85,bird
86,horse
87,cat
88,horse
89,ship
90,truck
91,plane
92,cat
93,ship
94,frog
95,deer
96,frog
97,frog
98,plane
99,plane
100,horse
101,deer
102,dog
103,frog
104,cat
105,car
106,car
107,cat
108,frog
109,ship
110,horse
111,deer
112,plane
113,frog
114,bird
115,car
116,cat
117,plane
118,deer
119,cat
120,horse
121,ship
122,cat
123,car
124,bird
125,ship
126,ship
127,ship
128,cat
129,frog
130,bird
131,deer
132,car
133,ship
134,truck
135,car
136,bird
137,truck
138,horse
139,bird
140,car
141,frog
142,dog
143,frog
144,cat
145,ship
146,cat
147,frog
148,dog
149,dog
150,bird
151,ship
152,truck
153,frog
154,plane
155,plane
156,dog
157,bird
158,truck
159,cat
160,deer
161,bird
162,car
163,frog
164,frog
165,plane
166,deer
167,ship
168,deer
169,dog
170,plane
171,truck
172,plane
173,truck
174,ship
175,truck
176,truck
177,cat
178,horse
179,dog
180,plane
181,plane
182,dog
183,bird
184,frog
185,cat
186,ship
187,frog
188,cat
189,cat
190,ship
191,dog
192,ship
193,plane
194,car
195,horse
196,bird
197,ship
198,ship
199,horse
200,ship
201,dog
202,car
203,ship
204,horse
205,car
206,cat
207,plane
208,dog
209,horse
210,truck
211,horse
212,deer
213,dog
214,horse
215,ship
216,plane
217,horse
218,truck
219,ship
220,bird
221,horse
222,frog
223,truck
224,deer
225,deer
226,truck
227,cat
228,deer
229,cat
230,frog
231,dog
232,car
233,cat
234,ship
235,ship
236,plane
237,deer
238,horse
239,dog
240,dog
241,car
242,car
243,ship
244,truck
245,plane
246,cat
247,car
248,ship
249,bird
250,bird
251,dog
252,cat
253,truck
254,truck
255,deer
256,plane
257,cat
258,plane
259,ship
260,truck
261,ship
262,car
263,dog
264,horse
265,ship
266,ship
267,bird
268,deer
269,horse
270,bird
271,bird
272,cat
273,frog
274,cat
275,ship
276,cat
277,plane
278,cat
279,deer
280,cat
281,truck
282,ship
283,frog
284,car
285,plane
286,truck
287,car
288,plane
289,horse
290,truck
291,car
292,bird
293,frog
294,car
295,cat
296,deer
297,frog
298,plane
299,plane
300,frog
301,frog
302,frog
303,cat
304,bird
305,frog
306,car
307,ship
308,bird
309,car
310,deer
311,ship
312,frog
313,plane
314,bird
315,deer
316,plane
317,horse
318,horse
319,dog
320,dog
321,cat
322,dog
323,bird
324,cat
325,deer
326,car
327,horse
328,dog
329,deer
330,frog
331,car
332,truck
333,cat
334,frog
335,frog
336,truck
337,cat
338,ship
339,plane
340,horse
341,bird
342,frog
343,bird
344,dog
345,ship
346,dog
347,deer
348,frog
349,ship
350,truck
351,truck
352,car
353,ship
354,bird
355,bird
356,deer
357,frog
358,bird
359,ship
360,plane
361,truck
362,dog
363,ship
364,car
365,truck
366,deer
367,car
368,cat
369,bird
370,car
371,cat
372,horse
373,truck
374,deer
375,bird
376,horse
377,bird
378,horse
379,bird
380,frog
381,frog
382,truck
383,plane
384,truck
385,dog
386,plane
387,horse
388,bird
389,bird
390,dog
391,car
392,bird
393,frog
394,bird
395,truck
396,frog
397,bird
398,cat
399,plane
400,cat
401,truck
402,ship
403,horse
404,ship
405,ship
406,deer
407,plane
408,car
409,ship
410,bird
411,horse
412,truck
413,cat
414,frog
415,car
416,truck
417,plane
418,horse
419,cat
420,horse
421,deer
422,dog
423,ship
424,plane
425,bird
426,truck
427,frog
428,bird
429,plane
430,frog
431,bird
432,dog
433,cat
434,bird
435,cat
436,horse
437,bird
438,frog
439,cat
440,car
441,car
442,deer
443,truck
444,truck
445,dog
446,horse
447,dog
448,plane
449,bird
450,plane
451,bird
452,truck
453,horse
454,cat
455,truck
456,deer
457,deer
458,dog
459,deer
460,bird
461,dog
462,frog
463,car
464,deer
465,cat
466,deer
467,deer
468,cat
469,horse
470,ship
471,deer
472,horse
473,ship
474,bird
475,cat
476,horse
477,frog
478,plane
479,dog
480,deer
481,ship
482,frog
483,ship
484,cat
485,dog
486,truck
487,truck
488,truck
489,dog
490,plane
491,car
492,deer
493,ship
494,car
495,car
496,ship
497,plane
498,bird
499,bird
500,plane
501,deer
502,frog
503,dog
504,deer
505,truck
506,deer
507,horse
508,truck
509,truck
510,deer
511,dog
512,frog
513,frog
514,car
515,dog
516,cat
517,ship
518,truck
519,cat
520,ship
521,dog
522,horse
523,plane
524,horse
525,plane
526,dog
527,horse
528,plane
529,deer
530,frog
531,truck
532,plane
533,truck
534,dog
535,frog
536,frog
537,frog
538,bird
539,ship
540,plane
541,car
542,horse
543,frog
544,horse
545,dog
546,truck
547,car
548,frog
549,bird
550,dog
551,dog
552,cat
553,ship
554,dog
555,truck
556,deer
557,frog
558,deer
559,cat
560,bird
561,plane
562,horse
563,frog
564,bird
565,bird
566,cat
567,truck
568,cat
569,truck
570,bird
571,frog
572,horse
573,car
574,cat
575,frog
576,frog
577,ship
578,ship
579,horse
580,dog
581,deer
582,plane
583,ship
584,deer
585,plane
586,truck
587,cat
588,deer
589,ship
590,truck
591,frog
592,truck
593,bird
594,frog
595,car
596,deer
597,horse
598,cat
599,cat
600,cat
601,ship
602,dog
603,plane
604,bird
605,car
606,frog
607,deer
608,cat
609,cat
610,truck
611,frog
612,truck
613,ship
614,ship
615,dog
616,ship
617,frog
618,frog
619,bird
620,car
621,horse
